Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-04-07,64.15256,64.37512,63.906967,64.09116,5842381.0,375057920.0,83.51,0.0,0,0,0
2017-04-10,64.12953,64.59002,63.97604,64.49024,3319778.2,213459920.0,84.03,0.0,0,0,0
2017-04-11,64.51327,65.05817,64.42117,64.93537,5034987.0,326371070.0,84.61,0.0,0,0,0
2017-04-12,64.91235,65.15794,64.70513,64.82025,4595567.5,298191300.0,84.46,0.0,0,0,0
2017-04-13,64.79723,64.96607,64.59002,64.67443,3595597.5,232844580.0,84.27,0.0,0,0,0
2017-04-17,64.77421,65.4726,64.70513,65.45725,5049090.5,329422340.0,85.29,0.0,0,0,0
2017-04-18,65.403534,65.69517,65.35748,65.633766,3657901.0,239812340.0,85.52,0.0,0,0,0
2017-04-19,65.58005,65.78726,65.42655,65.54167,4720638.5,309597470.0,85.4,0.0,0,0,0
2017-04-20,65.41888,65.5954,65.08119,65.549355,4051059.5,265023840.0,85.41,0.0,0,0,0
2017-04-21,65.51098,65.58772,65.20015,65.31143,4250247.0,277764900.0,85.1,0.0,0,0,0
2017-04-24,65.61842,65.6568,63.999065,64.59002,8593597.0,553651800.0,84.16,0.0,0,0,0
2017-04-25,64.59002,64.9584,64.48257,64.85863,4446154.0,288000860.0,84.51,0.0,0,0,0
2017-04-26,64.81258,64.943054,64.21395,64.37512,5453641.0,352030600.0,83.88,0.0,0,0,0
2017-04-27,64.4749,64.62839,64.07965,64.20628,6283292.5,404040700.0,83.66,0.0,0,0,0
2017-04-28,64.03744,64.13721,63.308342,63.538586,7796750.5,495389120.0,82.79,0.0,0,0,0
2017-05-01,63.814873,64.10651,63.28532,63.914642,7822566.5,498815460.0,83.28,0.0,0,0,0
2017-05-02,63.991386,64.15256,63.569286,63.807198,6423757.0,410090980.0,83.14,0.0,0,0,0
2017-05-03,63.776497,63.853245,62.748863,62.95531,8088397.0,510429200.0,82.03,0.0,0,0,0
2017-05-04,62.5639,62.748096,61.934578,62.648323,10456606.0,652425300.0,81.63,0.0,0,0,0
2017-05-05,62.786465,63.239273,62.755768,63.239273,7111784.0,448217440.0,82.4,0.0,0,0,0
